system,operation,file_size_kb,clients,mean_ms,stddev_ms,min_ms,max_ms
grpc,download,10,1,0.952,0.457,0.420,27.351
grpc,download,10,10,0.945,0.617,0.374,18.069
grpc,download,10,20,1.074,0.488,0.339,6.368
grpc,download,1024,1,5.395,1.931,3.947,89.231
grpc,download,1024,10,40.295,10.354,6.644,218.779
grpc,download,1024,20,74.673,13.257,11.302,157.914
grpc,download,10240,1,41.642,4.445,36.044,123.384
grpc,download,10240,10,374.512,28.961,39.052,572.372
grpc,download,10240,20,748.718,40.783,97.721,973.208
grpc,list,0,1,0.765,0.495,0.364,26.653
grpc,list,0,10,0.976,1.855,0.338,44.746
grpc,list,0,20,1.177,2.251,0.357,48.118
grpc,upload,10,1,1.141,1.359,0.458,56.798
grpc,upload,10,10,1.778,1.049,0.403,11.854
grpc,upload,10,20,3.518,1.774,0.566,25.682
grpc,upload,1024,1,11.379,8.541,5.674,200.517
grpc,upload,1024,10,88.627,38.084,11.313,775.035
grpc,upload,1024,20,167.393,34.832,14.625,402.202
grpc,upload,10240,1,97.050,21.914,76.786,773.425
grpc,upload,10240,10,802.403,81.338,98.336,1245.353
grpc,upload,10240,20,1831.265,208.326,506.612,2670.365
rabbit,download,10,1,6.862,2.193,4.701,155.244
rabbit,download,10,10,14.209,3.242,6.690,49.387
rabbit,download,10,20,26.230,11.721,7.103,292.115
rabbit,download,1024,1,29.343,4.286,22.563,206.180
rabbit,download,1024,10,108.377,14.773,39.427,241.580
rabbit,download,1024,20,231.268,49.944,41.718,650.175
rabbit,download,10240,1,202.472,21.134,172.883,652.873
rabbit,download,10240,10,1019.345,141.376,339.401,1820.195
rabbit,download,10240,20,2043.274,371.306,215.870,5697.935
rabbit,list,0,1,6.718,2.545,4.817,120.051
rabbit,list,0,10,14.599,6.774,6.432,140.677
rabbit,list,0,20,29.148,13.065,7.485,192.079
rabbit,upload,10,1,7.509,2.106,4.817,128.157
rabbit,upload,10,10,15.283,3.232,7.178,48.610
rabbit,upload,10,20,30.926,11.587,8.269,190.772
rabbit,upload,1024,1,42.427,6.286,31.868,219.971
rabbit,upload,1024,10,144.934,23.904,40.981,350.407
rabbit,upload,1024,20,304.780,39.374,138.596,664.181
rabbit,upload,10240,1,296.448,33.928,257.101,2596.030
rabbit,upload,10240,10,1374.429,120.836,1157.604,3117.276
rabbit,upload,10240,20,3037.217,560.997,2212.040,7049.340
